id,name,slug,address,province,school_type,category,age_range,tuition_min,tuition_max,tuition_unit,rating,review_count,phone,email,website,kiddihub_url,avatar_lg,banner_lg
fb44ecdb-6e95-45a4-ae32-4eb338297f7e,ABC International School (Trường Quốc tế ABC) - Bình Hưng,abc-international-school-truong-quoc-te-abc-binh-hung,"69 Đường số 3, Khu dân cư Trung Sơn, xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,4,mam-non,24 tháng - 18 tháng,13000000,22000000,tháng,,0,02873081828,,https://www.theabcis.com/,https://kiddihub.com/truong/abc-international-school-truong-quoc-te-abc-binh-hung,https://static.kiddihub.com/images/avatar-abc-international-school-truong-quoc-te-abc11556244053.png,https://static.kiddihub.com/images/rX0lJOSkjdVFyPfB-lg-banner-abc-international-school-truong-quoc-te-abc-binh-hung.jpeg
bad28b66-cc76-4da5-bf13-3820d7b138cb,Anne Hill International School - An Phú,anne-hill-international-school-an-phu,"33 Giang Văn Minh, An Phú, phường An Phú, Quận 2, Hồ Chí Minh",Hồ Chí Minh,4,mam-non,18 tháng - 72 tháng,17000000,20000000,tháng,4.27,3,0906846939,,,https://kiddihub.com/truong/anne-hill-international-school-an-phu,https://static.kiddihub.com/images/avatar-anne-hill-international-school-an-phu11562660359.png,https://static.kiddihub.com/images/pchSamkUtSAjHFim-lg-banner-anne-hill-international-school-an-phu.jpeg
2261feb0-7d4e-48d1-868c-3e845ef78323,APU International School (Trường Quốc tế APU) - Phường 5,apu-international-school-truong-quoc-te-apu-phuong-5,"286 Lãnh Binh Thăng, Phường 11, Quận 11, Hồ Chí Minh",Hồ Chí Minh,3,mam-non,12 tháng - 60 tháng,10000000,15000000,tháng,,0,02839624897,,http://www.apu.edu.vn/,https://kiddihub.com/truong/apu-international-school-truong-quoc-te-apu-phuong-5,https://static.kiddihub.com/images/avatar-apu-international-school-truong-quoc-te-apu11556251685.jpg,https://static.kiddihub.com/images/q1XfaevfhUJs8PQr-lg-banner-apu-international-school-truong-quoc-te-apu-phuong-5.jpeg
1616ff1e-6c38-4624-80d5-8ef1e2b33258,Australian International School - AIS (Trường Quốc tế Úc) - Phường Thảo Điền,australian-international-school-ais-truong-quoc-te-uc-phuong-thao-dien,"Số 36, Đường Thảo Điền, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,4,mam-non,18 tháng - 72 tháng,24000000,66500000,tháng,,0,02838989100,,https://www.aisvietnam.com/,https://kiddihub.com/truong/australian-international-school-ais-truong-quoc-te-uc-phuong-thao-dien,https://static.kiddihub.com/images/avatar-australian-international-school-ais-truong-quoc-te-uc11556848259.jpg,https://static.kiddihub.com/images/tZsaYBmHdZQiGoDY-lg-banner-australian-international-school-ais-truong-quoc-te-uc-phuong-thao-dien.jpeg
76634e13-37a2-48d7-ab3c-214f2e5e8848,Bee Home The Sun Avenue - An Phú,truong-mam-non-ngoi-nha-nho-be-home-preschool,"Số  140, 142, Khu Dân Cư Văn Minh, Đường số 51 Khu Dân Cư Văn Minh, Phường An Phú, Quận 2, Hồ Chí Minh",Hồ Chí Minh,1,mam-non,16 tháng - 5 tuổi,7200000,7200000,tháng,4.93,15,0913780858,,https://www.facebook.com/beehome.edu.vn,https://kiddihub.com/truong/truong-mam-non-ngoi-nha-nho-be-home-preschool,https://static.kiddihub.com/1/avatar-truong-mam-non-ngoi-nha-nho-be-home-preschool-5m9NyTWh6m02LTMx.jpeg,https://static.kiddihub.com/images/EX10SNGKgm7fuISP-lg-banner-truong-mam-non-ngoi-nha-nho-be-home-preschool.jpeg
e057d51c-06d5-44d5-a803-50542c8c6d6b,British Vietnamese International School - BVIS (Trường Quốc tế Song ngữ BVIS) - Bình Hưng,british-vietnamese-international-school-bvis-truong-quoc-te-song-ngu-bvis-binh-hung,"44 - 46 Đường số 1, xã Bình Hưng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,3,mam-non,12 tháng - 60 tháng,18000000,20000000,tháng,,0,02838989098,,https://www.nordangliaeducation.com/bvis-hcmc?utm_source=google&utm_medium=organic&utm_campaign=Yext_GBM_SEA003_10496909&y_source=1_MTA0OTY5MDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://kiddihub.com/truong/british-vietnamese-international-school-bvis-truong-quoc-te-song-ngu-bvis-binh-hung,https://static.kiddihub.com/images/avatar-truong-quoc-te-song-ngu-bvis11556849775.png,https://static.kiddihub.com/images/ETIpjcN7P70M2luj-lg-banner-british-vietnamese-international-school-bvis-truong-quoc-te-song-ngu-bvis-binh-hung.jpeg
981b26c8-44c4-4eb9-b69c-b641fc11396a,Canarykids Pre-School - An Lạc A,canarykids-pre-school-an-lac-a,"Số 29 đường số 14, Phường An Lạc A, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh",Hồ Chí Minh,1,mam-non,12 tháng - 6 tuổi,2500000,4000000,tháng,5.0,1,0938252378,,,https://kiddihub.com/truong/canarykids-pre-school-an-lac-a,https://static.kiddihub.com/images/avatar-canarykids-pre-school-an-lac-a11563157160.jpg,https://static.kiddihub.com/1/canarykids-pre-school-an-lac-a-FnGcfhhceyyY4Zw6.jpeg
514cf0a1-0e8b-499c-9f68-6a346e3b705b,CREATIVE SAIGON PRESCHOOL (CSS - TRƯỜNG MẦM NON SÀI GÒN SÁNG TẠO) - QUẬN 10,truong-mam-non-sai-gon-phuong-2,"Số 449, Đường Lê Hồng Phong, Phường 2, Quận 10, Hồ Chí Minh",Hồ Chí Minh,1,mam-non,15 tháng - 5 tuổi,8900000,12000000,tháng,4.99,92,0936786493,,https://css.edu.vn/,https://kiddihub.com/truong/truong-mam-non-sai-gon-phuong-2,https://static.kiddihub.com/1/avatar-truong-mam-non-sai-gon-phuong-2-3q5RS2nVojjs90Fr.jpeg,https://static.kiddihub.com/images/QhFxkkQsjylzqNo2-lg-banner-truong-mam-non-sai-gon-phuong-2.jpeg
46d31132-1145-4924-bd37-badeb1244c74,E-Maison International Pre-School - Thảo Điền,truong-etonhouse-e-maison-international-pre-school-thao-dien,"42 Đường số 10, phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,4,mam-non,18 tháng - 6 tuổi,20000000,25000000,tháng,5.0,14,0918041591,,http://e-maison.vn/,https://kiddihub.com/truong/truong-etonhouse-e-maison-international-pre-school-thao-dien,https://s3.ap-southeast-1.amazonaws.com/kiddihub-prod/1/avatar-truong-etonhouse-e-maison-international-pre-school-thao-dien-ooYS2h7L7RETx4vd.jpg,https://static.kiddihub.com/1/truong-etonhouse-e-maison-international-pre-school-thao-dien-iMde8493eQTxwxEw.jpeg
90698869-8770-423a-aa82-574532751062,Happy Apple Kindergarten (Mầm Non Táo Yêu Thương) - Bình Trị Đông B,happy-apple-kindergarten-mam-non-tao-yeu-thuong-binh-tri-dong-b,"Số 132, Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",Hồ Chí Minh,1,mam-non,19 tháng - 6 tuổi,5500000,6100000,tháng,5.0,58,0365534911,,,https://kiddihub.com/truong/happy-apple-kindergarten-mam-non-tao-yeu-thuong-binh-tri-dong-b,https://static.kiddihub.com/1/avatar-happy-apple-kindergarten-mam-non-tao-yeu-thuong-binh-tri-dong-b-jIeBRSPaKcn2tYd0.jpeg,https://static.kiddihub.com/1/happy-apple-kindergarten-mam-non-tao-yeu-thuong-binh-tri-dong-b-nKZK4mj33oLimbQd.jpeg
27bb75ae-429f-4ce2-9068-37e3c9c078bb,Happy Preschool - Trường Mầm Non Hạnh Phúc - Quận 9,happy-preschool-truong-mam-non-hanh-phuc-quan-9,"Số 22, Vinhome Grandpark, đường NXLP Vinhome Grandpark, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Hồ Chí Minh,3,mam-non,12 tháng - 6 tuổi,8000000,10000000,tháng,5.0,1,0865014039,,http://happystars.edu.vn/,https://kiddihub.com/truong/happy-preschool-truong-mam-non-hanh-phuc-quan-9,https://static.kiddihub.com/1/avatar-happy-preschool-truong-mam-non-hanh-phuc-quan-9-0OUS3mAfw18UJ0CG.jpeg,https://static.kiddihub.com/images/aNz2uRxM2wVlqDKk-lg-banner-happy-preschool-truong-mam-non-hanh-phuc-quan-9.jpeg
eb329c80-f24c-462d-9a2e-5dcf88c878f0,Hệ Thống Giáo Dục Kindergarten ABC Khang An - Phú Hữu,he-thong-giao-duc-kindergarten-abc-khang-an-cs2-phu-huu,"41 đường số 5 KDC Khang An, phường Phú Hữu, Quận 9, Hồ Chí Minh",Hồ Chí Minh,1,mam-non,14 tháng - 6 tuổi,4700000,4700000,tháng,,0,0938015311,,,https://kiddihub.com/truong/he-thong-giao-duc-kindergarten-abc-khang-an-cs2-phu-huu,https://static.kiddihub.com/1/avatar-he-thong-giao-duc-kindergarten-abc-khang-an-cs2-phu-huu-VgTYA67uM8qMTjbq.jpeg,https://static.kiddihub.com/1/he-thong-giao-duc-kindergarten-abc-khang-an-cs2-phu-huu-RyN0hXgH9L1XJv6Y.jpeg
7a78ee58-06c7-4af4-8d2e-44a317ebc20a,"Hệ Thống Giáo Dục Kindergarten ABC Khang An CS3 - Phú Hữu, Thủ Đức",he-thong-giao-duc-kindergarten-abc-khang-an-cs3-phu-huu-thu-duc,"9-9D Đường 882, Phường Phú Hữu, Thành phố Thủ Đức, Hồ Chí Minh",Hồ Chí Minh,1,mam-non,12 tháng - 5 tuổi,0,0,tháng,,0,0938015311,,,https://kiddihub.com/truong/he-thong-giao-duc-kindergarten-abc-khang-an-cs3-phu-huu-thu-duc,https://static.kiddihub.com/1/avatar-he-thong-giao-duc-kindergarten-abc-khang-an-cs3-phu-huu-thu-duc-pCIaNNiy6zIQdW73.jpeg,https://static.kiddihub.com/1/he-thong-giao-duc-kindergarten-abc-khang-an-cs3-phu-huu-thu-duc-d8Lao8JdCCnhnpFy.jpeg
